,CNPJ,NOME_EMPRESA,SETOR,TICKER,NOME
0,12.091.809/0001-55,3R PETROLEUM OLÉO E GÁS S.A.,Petróleo e Gás,RRRP3,3R PETROLEUM
1,61.079.117/0001-05,ALPARGATAS,Têxtil e Vestuário,ALPA4,ALPARGATAS
2,07.526.557/0001-00,AMBEV S.A,Bebidas e Fumo,ABEV3,AMBEV S/A
3,00.776.574/0001-56,AMERICANAS S.A.,Comércio (Atacado e Varejo),AMER3,AMERICANAS
4,06.057.223/0001-71,ASSAI,Comércio (Atacado e Varejo),ASAI3,ASSAI
5,09.305.994/0001-29,AZUL S.A.,Emp. Adm. Part. - Serviços Transporte e Logística,AZUL4,AZUL
6,09.346.601/0001-25,B3,Bolsas de Valores/Mercadorias e Futuros,B3SA3,B3
7,10.664.513/0001-50,BANCO AGIBANK S.A.,Intermediação Financeira,BIDI11,BANCO INTER
8,10.664.513/0001-50,BANCO AGIBANK S.A.,Intermediação Financeira,BPAN4,BANCO PAN
9,15.114.366/0001-69,BCO BOCOM BBM,Bancos,BBSE3,BB SEGURIDADE
10,44.597.052/0001-62,ABRIL SA,Gráficas e Editoras,BRML3,BR MALLS PAR
11,60.746.948/0001-12,BANCO BRADESCO S.A.,Bancos,BBDC3,BRADESCO
12,60.746.948/0001-12,BANCO BRADESCO S.A.,Bancos,BBDC4,BRADESCO
13,03.847.461/0001-92,BRADESPAR S/A,Emp. Adm. Part. - Extração Mineral,BRAP4,BRADESPAR
14,07.636.657/0001-99,AÃO VERDE DO BRASIL S.A,Metalurgia e Siderurgia,BBAS3,BRASIL
15,42.150.391/0001-70,BRASKEM,Petroquímicos e Borracha,BRKM5,BRASKEM
16,01.838.723/0001-27,BRF S.A.,Emp. Adm. Part. - Alimentos,BRFS3,BRF SA
17,12.592.746/0001-10,BTGP PACTUAL STIGMA PARTICIPAÇÕES S/A,Emp. Adm. Part. - Petróleo e Gás,BPAC11,BTGP BANCO
18,75.315.333/0001-09,CARREFOUR BR,Emp. Adm. Part. - Comércio (Atacado e Varejo),CRFB3,CARREFOUR BR
19,02.846.056/0001-97,CCR S.A.,Emp. Adm. Part. - Serviços Transporte e Logística,CCRO3,CCR SA
20,06.981.180/0001-16,CEMIG DISTRIBUIÇÃO S/A,Energia Elétrica,CMIG4,CEMIG
21,01.027.058/0001-91,CIELO S.A.,Intermediação Financeira,CIEL3,CIELO
22,02.800.026/0001-40,COGNA EDUCAÇÃO S.A.,Emp. Adm. Part. - Educação,COGN3,COGNA ON
23,76.483.817/0001-20,COPEL,Energia Elétrica,CPLE6,COPEL
24,62.092.739/0001-28,COSAN ALIMENTOS S.A.,"Agricultura (Açúcar, Álcool e Cana)",CSAN3,COSAN
25,04.172.213/0001-51,CPFL - PIRATININGA,Energia Elétrica,CPFE3,CPFL ENERGIA
26,08.902.291/0001-15,CSNMINERACAO,Extração Mineral,CMIN3,CSNMINERACAO
27,10.760.260/0001-19,CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA,Hospedagem e Turismo,CVCB3,CVC BRASIL
28,73.178.600/0001-18,CYRELA BRAZIL REALTY S.A.,"Construção Civil, Mat. Constr. e Decoração",CYRE3,CYRELA REALT
29,97.837.181/0001-47,DEXCO S.A.,"Construção Civil, Mat. Constr. e Decoração",DXCO3,DEXCO
30,08.873.873/0001-10,ECORODOVIAS CONCESSÕES E SERVIÇOS S/A,Emp. Adm. Part. - Serviços Transporte e Logística,ECOR3,ECORODOVIAS
