Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO DO BRASIL S.A.;0;BB;49906;80329;b1;1;1;BRASILIA;DF;12/2020;1.644.707.858;650.630.509;1.527.984.636;1.313.747.367;116.723.222;6.164.297;4.371;743
CAIXA ECONOMICA FEDERAL;360305;;;80738;b1;1;6;BRASILIA;DF;12/2020;1.448.929.819;787.421.799;1.387.916.814;1.198.213.303;61.013.005;7.286.688;3.373;788
BANCO BRADESCO S.A.;60746948;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;12/2020;1.353.392.708;427.020.785;1.209.690.068;1.049.509.772;143.702.640;9.658.436;3.395;1.301
ITAÚ UNIBANCO S.A.;60701190;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;12/2020;1.326.542.174;311.968.247;1.214.693.442;1.069.588.107;111.848.733;9.511.129;2.861;884
BANCO SANTANDER (BRASIL) S.A.;90400888;SANTANDER;30379;80185;b1;3;8;SAO PAULO;SP;12/2020;964.182.967;299.601.505;878.867.259;694.907.382;85.315.708;8.113.270;2.769;1.854
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;;;81847;b4;1;4;RIO DE JANEIRO;RJ;12/2020;798.364.832;274.598.667;685.362.316;312.812.833;113.002.516;15.719.772;5;0
BANCO BTG PACTUAL S.A.;30306294;BTG PACTUAL;49944;80336;b1;2;8;RIO DE JANEIRO;RJ;12/2020;225.092.606;33.336.718;198.411.950;153.114.689;26.680.655;2.916.053;14;0
BANCO SAFRA S.A.;58160789;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;12/2020;208.578.285;65.875.389;194.900.374;176.935.668;13.677.911;1.112.200;114;5
ITAÚ UNIBANCO HOLDING S.A.;60872504;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;12/2020;148.602.101;0;11.902.906;0;136.699.195;12.245.595;2;0
BANCO ITAUCARD S.A.;17192451;ITAU;10069;80099;b2;2;8;SAO PAULO;SP;12/2020;124.543.068;92.014.085;114.815.547;58.446.105;9.727.521;845.495;2;0
BANCO VOTORANTIM S.A.;59588111;VOTORANTIM;51011;80484;b1;2;8;SAO PAULO;SP;12/2020;112.930.090;55.174.746;102.183.922;83.373.551;10.746.169;620.408;4;33
BANCO CITIBANK S.A.;33479023;CITIBANK;30403;80192;b1;3;8;SAO PAULO;SP;12/2020;100.355.037;22.983.855;93.898.256;62.888.427;6.456.781;590.388;81;8
BANCO J.P. MORGAN S.A.;33172537;JP MORGAN CHASE;20107;80116;b1;3;8;SAO PAULO;SP;12/2020;92.801.840;3.879.944;87.249.882;70.947.712;5.551.958;396.703;4;0
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.;92702067;BANRISUL;30173;80154;b1;1;8;PORTO ALEGRE;RS;12/2020;91.913.342;37.507.235;83.569.280;72.226.793;8.344.062;350.177;520;131
CIELO S.A.;1027058;;;84710;n4;2;41;BARUERI;SP;12/2020;87.324.870;0;77.834.016;6.942.036;9.490.854;398.652;1;0
BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB;2038232;BANCOOB;51750;80879;b1;2;11;BRASILIA;DF;12/2020;76.269.420;12.727.217;74.232.738;66.138.505;2.036.682;69.670;5;0
BANCO CRÉDIT AGRICOLE BRASIL S.A.;75647891;CREDIT AGRICOLE;51066;80491;b1;3;8;SAO PAULO;SP;12/2020;75.911.059;4.035.537;73.565.898;10.490.402;2.345.161;50.375;2;0
BANCO COOPERATIVO SICREDI S.A.;1181521;;;80745;b1;2;11;PORTO ALEGRE;RS;12/2020;67.582.067;14.715.290;66.068.878;60.826.254;1.513.189;51.455;6;0
REDECARD S.A.;1425787;;;80099;n4;2;41;SAO PAULO;SP;12/2020;66.769.913;0;49.443.909;0;17.326.004;106.936;1;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;;;81593;b1;1;8;FORTALEZA;CE;12/2020;61.817.640;13.180.980;55.645.665;26.481.390;6.171.975;686.683;296;2
BANCO BNP PARIBAS BRASIL S.A.;1522368;BNP PARIBAS;51516;80673;b1;3;8;SAO PAULO;SP;12/2020;61.730.223;11.866.176;58.666.771;28.155.019;3.063.452;151.264;5;0
BANCO BRADESCO FINANCIAMENTOS S.A.;7207996;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;12/2020;58.752.416;34.932.606;47.540.979;45.217.521;11.211.437;-182.930;3;0
XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;2332886;XP;52120;82475;n2;2;15;RIO DE JANEIRO;RJ;12/2020;54.360.830;0;50.990.902;27.639.459;3.369.928;118.759;4;0
AYMORÉ CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;7707650;SANTANDER;30379;80185;n1;3;14;SAO PAULO;SP;12/2020;50.196.758;48.542.255;48.654.486;46.015.020;1.542.272;342.567;1;0
BANCO DAYCOVAL S.A.;62232889;DAYCOVAL;51987;81744;b1;2;8;SAO PAULO;SP;12/2020;49.345.625;31.546.748;44.919.752;38.956.535;4.425.872;527.553;48;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;;;81555;b1;3;8;SAO PAULO;SP;12/2020;47.266.669;25.913.501;43.031.792;30.608.247;4.234.877;137.200;19;0
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A.;10440482;;;80185;n4;3;41;SAO PAULO;SP;12/2020;42.321.123;67.481;40.249.090;1.091.157;2.072.033;123.061;0;0
BANCO ABC BRASIL S.A.;28195667;ABC-BRASIL;41856;80312;b1;3;8;SAO PAULO;SP;12/2020;41.718.674;19.100.572;37.430.410;30.619.743;4.288.263;179.463;11;0
BANCO PAN S.A.;59285411;PAN;31323;80257;b1;2;8;SAO PAULO;SP;12/2020;38.963.426;28.907.432;33.645.958;28.841.549;5.317.468;341.119;2;0
BANCO J. SAFRA S.A.;3017677;SAFRA;10083;80109;b1;2;8;SAO PAULO;SP;12/2020;34.233.637;15.737.739;32.961.232;32.001.106;1.272.405;125.724;2;0
BANCO DE INVESTIMENTOS CREDIT SUISSE (BRASIL) S.A.;33987793;CREDIT SUISSE;30771;80219;b2;3;13;SAO PAULO;SP;12/2020;33.304.635;7.490.350;27.752.019;21.931.542;5.552.616;953.253;3;0
BANCO ITAÚ CONSIGNADO S.A.;33885724;ITAU;10069;80099;b1;2;8;SAO PAULO;SP;12/2020;30.778.644;30.566.887;28.098.305;27.558.226;2.680.339;228.589;2;0
ING BANK N.V.;49336860;ING;51073;80501;b1;3;28;SAO PAULO;SP;12/2020;30.742.489;4.255.795;30.239.019;10.407.782;503.470;-163.079;2;0
BANCO BMG S.A.;61186680;BMG;30290;80178;b1;2;8;SAO PAULO;SP;12/2020;30.421.762;13.020.578;26.293.537;22.207.935;4.128.225;172.850;29;0
BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO;28127603;BANESTES;30159;80147;b1;1;8;VITORIA;ES;12/2020;30.415.566;5.143.482;28.701.666;27.675.995;1.713.900;107.085;108;46
BANCO MUFG BRASIL S.A.;60498557;;;81713;b1;3;8;SAO PAULO;SP;12/2020;29.332.961;3.089.688;28.050.370;10.637.360;1.282.591;12.961;2;0
BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.;62073200;BOFA MERRILL LYNCH;51255;80556;b1;3;8;SAO PAULO;SP;12/2020;27.581.112;1.068.984;24.733.724;13.333.912;2.847.388;268.908;2;0
NU PAGAMENTOS S.A.;18236120;;;84693;n4;2;41;SAO PAULO;SP;12/2020;27.304.524;15.621.134;25.866.245;5.893.313;1.438.279;-140.362;1;0
BANCO BANDEPE S.A.;10866788;SANTANDER;30379;80185;b1;3;8;SAO PAULO;SP;12/2020;26.997.650;0;21.628.162;21.429.296;5.369.488;55.817;2;0
KIRTON BANK S.A. - BANCO MÚLTIPLO;1701201;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;12/2020;26.006.948;402.346;1.042.296;0;24.964.652;-20.109;1;0
STONE PAGAMENTOS S.A.;16501555;;;84686;n4;2;41;SAO PAULO;SP;12/2020;26.003.772;0;24.736.284;1.444.145;1.267.489;146.427;1;0
NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;30680829;NUBANK;52058;84693;n1;2;14;SAO PAULO;SP;12/2020;25.291.287;3.099.698;24.509.402;24.086.664;781.885;-5.137;2;0
PAGSEGURO INTERNET S.A.;8561701;;;84813;n4;2;41;SAO PAULO;SP;12/2020;25.042.454;175.693;16.634.947;748.058;8.407.507;643.648;1;0
